"Стоит бычище поклёваны бочища";"Дом и окна"
"Мету, мету — не вымету \nНесу, несу — не вынесу \nПора придёт, сама уйдет";"Тень"
"Не ездок, а со шпорами, \nНе будильник, а всех будит";"Петух"
"Она красива и мила, \nА имя ей от слова 'зола'";"Золушка"
"Мы день не спим, \nМы ночь не спим, \nИ день и ночь \nСтучим, стучим";"Часы"
"Сижу верхом, \nНе ведаю на ком";"Шапка"
"Ношу их много лет, \nА счету им не знаю";"Волосы"
"Три глаза - три приказа, \nКрасный - самый опасный";"Светофор"
"Если б не было его, \nНе сказал бы ничего";"Язык"
"Стоит толстуха - \nДеревянное брюхо, \nЖелезный поясок";"Бочка"
"Есть всегда у людей \nЕсть всегда у кораблей";"Нос"
"Без языка живет, \nНе ест и не пьет, \nА говорит и поет";"Радио"
"Не лает, не кусает, а к будке привязана";"Цепь"
"В Полотняной стране по реке простыне \n плывет пароход то назад, то вперед,\n а  за ним такая гладь — ни морщинки не видать";"Утюг"
"В брюшке — баня, в носу — решето,\n нос — хоботок, на голове — пупок,\n всего одна рука без пальчиков,\n и та — на спине калачиком";"Чайник"
"Стоит дуб, в нем двенадцать гнезд, \n в каждом гнезде по четыре яйца,\n в каждом яйце по семи цыпленков.";"Год"
"В синем небе светляки \n — не дотянешь к ним руки. \n А один большой светляк изогнулся, как червяк.";"Небо"
"Вдруг из черной темноты в небе выросли кусты. А на них-то голубые, \n пунцовые, золотые распускаются цветы небывалой красоты. \n И все улицы под ними тоже стали голубыми, \n пунцовыми, золотыми, разноцветными.";"Салют"
"Речка спятила с ума — По домам пошла сама." ;"Водопровод"
"Музыкант, певец, рассказчик — \n А всего труба да ящик.";"Граммофон"
"Вот иголки и булавки выползают из-под лавки, \n на меня они глядят, молока они хотят.";"Еж"
"Страну чудес откроем мы \n и встретимся с героями в строчках, \n на листочках, где станции на точках.";"Книга"
"Если день нахмурится, если дождь пойдет — \n Выйдет он на улицу, надо мной вспорхнет.";"Зонт"
"Ходят-ходят два дружка вокруг белого кружка,\n ходят-ходят, не приходят,\n мерят-мерят, не измерят.";"Часы"
"на раскрашенных страницах \n много праздников хранится."; "Календарь"
"Загадка у меня к вам есть, загадка непростая: \n какую букву можно есть, когда она пустая?";"Капуста"
"Чем больше отдаю, тем больше вырастаю, \n величину свою отдачей измеряю."; "Яма"
"Дом открыт со всех сторон. \n В доме — тысячи колонн. \n Над колоннами — Шатры. Под колоннами — Ковры. \n Там живут — \n И в коврах, и в колоннах, и в шатрах.";"Лес"
"На ямке, ямке сто ямок с ямкой.";"Напёрсток"
